DOCENTE,DIA,HORA_INICIO,PRIORIDAD
11111111,lunes,07:00,1
11111111,lunes,08:00,1
11111111,lunes,09:00,1
11111111,lunes,10:00,1
11111111,lunes,11:00,1
11111111,lunes,12:00,1
11111111,lunes,13:00,1
11111111,lunes,14:00,1
11111111,lunes,15:00,1
11111111,lunes,16:00,1
11111111,lunes,17:00,1
11111111,lunes,18:00,1
11111111,lunes,19:00,1
11111111,lunes,20:00,1
11111111,martes,07:00,1
11111111,martes,08:00,1
11111111,martes,09:00,1
11111111,martes,10:00,1
11111111,martes,11:00,1
11111111,martes,12:00,1
11111111,martes,13:00,1
11111111,martes,14:00,1
11111111,martes,15:00,1
11111111,martes,16:00,1
11111111,martes,17:00,1
11111111,martes,18:00,1
11111111,martes,19:00,1
11111111,martes,20:00,1
11111111,miercoles,07:00,1
11111111,miercoles,08:00,1
11111111,miercoles,09:00,1
11111111,miercoles,10:00,1
11111111,miercoles,11:00,1
11111111,miercoles,12:00,1
11111111,miercoles,13:00,1
11111111,miercoles,14:00,1
11111111,miercoles,15:00,1
11111111,miercoles,16:00,1
11111111,miercoles,17:00,1
11111111,miercoles,18:00,1
11111111,miercoles,19:00,1
11111111,miercoles,20:00,1
11111111,jueves,07:00,1
11111111,jueves,08:00,1
11111111,jueves,09:00,1
11111111,jueves,10:00,1
11111111,jueves,11:00,1
11111111,jueves,12:00,1
11111111,jueves,13:00,1
11111111,jueves,14:00,1
11111111,jueves,15:00,1
11111111,jueves,16:00,1
11111111,jueves,17:00,1
11111111,jueves,18:00,1
11111111,jueves,19:00,1
11111111,jueves,20:00,1
11111111,viernes,07:00,1
11111111,viernes,08:00,1
11111111,viernes,09:00,1
11111111,viernes,10:00,1
11111111,viernes,11:00,1
11111111,viernes,12:00,1
11111111,viernes,13:00,1
11111111,viernes,14:00,1
11111111,viernes,15:00,1
11111111,viernes,16:00,1
11111111,viernes,17:00,1
11111111,viernes,18:00,1
11111111,viernes,19:00,1
11111111,viernes,20:00,1
22222222,lunes,07:00,1
22222222,lunes,08:00,1
22222222,lunes,09:00,1
22222222,lunes,10:00,1
22222222,lunes,11:00,1
22222222,lunes,12:00,1
22222222,lunes,13:00,1
22222222,lunes,14:00,1
22222222,lunes,15:00,1
22222222,lunes,16:00,1
22222222,lunes,17:00,1
22222222,lunes,18:00,1
22222222,lunes,19:00,1
22222222,lunes,20:00,1
22222222,martes,07:00,1
22222222,martes,08:00,1
22222222,martes,09:00,1
22222222,martes,10:00,1
22222222,martes,11:00,1
22222222,martes,12:00,1
22222222,martes,13:00,1
22222222,martes,14:00,1
22222222,martes,15:00,1
22222222,martes,16:00,1
22222222,martes,17:00,1
22222222,martes,18:00,1
22222222,martes,19:00,1
22222222,martes,20:00,1
22222222,miercoles,07:00,1
22222222,miercoles,08:00,1
22222222,miercoles,09:00,1
22222222,miercoles,10:00,1
22222222,miercoles,11:00,1
22222222,miercoles,12:00,1
22222222,miercoles,13:00,1
22222222,miercoles,14:00,1
22222222,miercoles,15:00,1
22222222,miercoles,16:00,1
22222222,miercoles,17:00,1
22222222,miercoles,18:00,1
22222222,miercoles,19:00,1
22222222,miercoles,20:00,1
22222222,jueves,07:00,1
22222222,jueves,08:00,1
22222222,jueves,09:00,1
22222222,jueves,10:00,1
